cliente_id,nombre_cliente,ciudad,segmento,fecha_registro
1,Cliente 001,Pereira,Regular,2023-12-02
2,Cliente 002,Medellin,Regular,2023-05-08
3,Cliente 003,Cucuta,Mayorista,2023-12-05
4,Cliente 004,Cucuta,Regular,2021-12-29
5,Cliente 005,Cucuta,Premium,2023-05-21
6,Cliente 006,Manizales,Mayorista,2023-03-23
7,Cliente 007,Bogota,Regular,2022-01-17
8,Cliente 008,Pereira,Premium,2023-03-23
9,Cliente 009,Cali,Regular,2021-04-26
10,Cliente 010,Cartagena,Regular,2023-09-29
11,Cliente 011,Pereira,Regular,2022-12-30
12,Cliente 012,Cartagena,Mayorista,2023-04-06
13,Cliente 013,Bogota,Mayorista,2022-09-18
14,Cliente 014,Cucuta,Regular,2021-04-10
15,Cliente 015,Pereira,Regular,2022-06-15
16,Cliente 016,Bucaramanga,Mayorista,2022-04-08
17,Cliente 017,Cartagena,Mayorista,2023-06-19
18,Cliente 018,Medellin,Regular,2022-02-23
19,Cliente 019,Barranquilla,Premium,2023-10-12
20,Cliente 020,Barranquilla,Regular,2022-12-08
21,Cliente 021,Bucaramanga,Premium,2022-03-22
22,Cliente 022,Cartagena,Regular,2022-12-18
23,Cliente 023,Cartagena,Regular,2022-02-14
24,Cliente 024,Bucaramanga,Mayorista,2021-05-17
25,Cliente 025,Medellin,Mayorista,2022-03-22
26,Cliente 026,Cali,Mayorista,2021-12-16
27,Cliente 027,Barranquilla,Regular,2022-09-15
28,Cliente 028,Pereira,Premium,2021-05-29
29,Cliente 029,Cucuta,Regular,2022-01-30
30,Cliente 030,Cartagena,Regular,2023-05-12
31,Cliente 031,Bogota,Premium,2022-11-17
32,Cliente 032,Bucaramanga,Regular,2023-05-30
33,Cliente 033,Ibague,Mayorista,2023-02-13
34,Cliente 034,Barranquilla,Mayorista,2022-08-08
35,Cliente 035,Pereira,Mayorista,2022-09-19
36,Cliente 036,Cali,Premium,2023-08-12
37,Cliente 037,Barranquilla,Mayorista,2022-06-06
38,Cliente 038,Cucuta,Premium,2021-11-28
39,Cliente 039,Ibague,Premium,2021-06-26
40,Cliente 040,Ibague,Premium,2022-12-27
41,Cliente 041,Barranquilla,Regular,2022-07-29
42,Cliente 042,Manizales,Regular,2021-11-19
43,Cliente 043,Bogota,Regular,2023-07-29
44,Cliente 044,Cali,Mayorista,2022-10-26
45,Cliente 045,Ibague,Regular,2022-12-03
46,Cliente 046,Pereira,Mayorista,2022-09-09
47,Cliente 047,Cucuta,Premium,2021-04-12
48,Cliente 048,Cucuta,Regular,2022-02-04
49,Cliente 049,Medellin,Mayorista,2021-07-09
50,Cliente 050,Cucuta,Premium,2021-11-05
