movimiento_id,fecha,tienda_id,producto_id,proveedor_id,tipo_movimiento,cantidad,costo_unitario
1,2024-05-18,3,SKU0037,7,ENTRADA,52,8450.36
2,2025-12-10,5,SKU0022,10,ENTRADA,53,2003.51
3,2025-12-05,3,SKU0030,,SALIDA,51,2418.47
4,2024-07-05,2,SKU0036,,AJUSTE,82,13119.6
5,2026-06-25,5,SKU0023,5,ENTRADA,63,8993.6
6,2025-06-28,3,SKU0039,8,ENTRADA,40,8187.4
7,2026-02-09,1,SKU0040,,SALIDA,80,3886.36
8,2025-12-19,4,SKU0042,,SALIDA,23,6622.98
9,2024-07-09,5,SKU0013,,SALIDA,59,2840.61
10,2024-05-26,5,SKU0025,5,ENTRADA,77,4907.86
11,2026-02-07,1,SKU0013,5,ENTRADA,51,3835.68
12,2024-10-29,4,SKU0019,10,ENTRADA,68,1939.81
13,2026-05-05,1,SKU0026,,SALIDA,38,4380.54
14,2026-01-29,5,SKU0025,,SALIDA,75,5850.62
15,2024-02-05,4,SKU0009,1,ENTRADA,78,2418.51
16,2026-03-02,1,SKU0025,5,ENTRADA,98,5024.37
17,2024-11-02,5,SKU0009,,SALIDA,56,1875.36
18,2024-03-17,3,SKU0013,,AJUSTE,67,2589.73
19,2025-12-13,5,SKU0026,,AJUSTE,81,4460.03
20,2025-08-16,4,SKU0027,5,ENTRADA,16,5851.25
21,2024-04-01,2,SKU0025,,SALIDA,96,4472.68
22,2025-04-28,1,SKU0019,10,ENTRADA,9,2042.23
23,2025-01-25,2,SKU0032,9,ENTRADA,12,2322.75
24,2025-06-07,3,SKU0010,6,ENTRADA,36,5448.52
25,2025-08-06,3,SKU0013,5,ENTRADA,44,3470.47
26,2025-02-01,1,SKU0025,5,ENTRADA,67,4575.83
27,2024-10-14,5,SKU0034,,SALIDA,77,1884.29
28,2024-04-30,4,SKU0005,2,ENTRADA,14,4854.67
29,2025-08-13,3,SKU0004,1,ENTRADA,2,6549.32
30,2025-12-21,3,SKU0015,1,ENTRADA,99,3064.67
31,2024-09-15,5,SKU0008,,SALIDA,48,2861.46
32,2025-06-15,3,SKU0002,,AJUSTE,80,2771.34
33,2024-02-23,2,SKU0010,6,ENTRADA,17,5978.03
34,2026-04-16,1,SKU0008,,AJUSTE,11,3269.87
35,2024-10-03,3,SKU0038,,SALIDA,96,4940.53
36,2025-05-13,3,SKU0007,6,ENTRADA,36,3901.09
37,2025-02-17,4,SKU0035,,AJUSTE,29,9709.07
38,2024-06-20,4,SKU0013,,SALIDA,76,3160.85
39,2026-06-08,3,SKU0010,6,ENTRADA,97,5797.17
40,2026-04-12,4,SKU0008,,AJUSTE,19,2680.28
41,2025-07-25,4,SKU0014,,AJUSTE,73,4447.06
42,2026-05-26,1,SKU0034,,AJUSTE,14,2382.2
43,2026-01-03,5,SKU0003,,SALIDA,20,1841.87
44,2025-03-25,4,SKU0011,,SALIDA,60,3040.47
45,2024-12-19,4,SKU0040,5,ENTRADA,87,3329.1
46,2025-03-22,4,SKU0033,,SALIDA,37,2362.62
47,2025-12-19,2,SKU0023,,SALIDA,28,9813.11
48,2024-11-01,5,SKU0020,,AJUSTE,69,1331.1
49,2024-04-02,2,SKU0032,,SALIDA,40,1888.17
50,2025-02-07,2,SKU0012,,SALIDA,26,1384.62
51,2025-06-09,4,SKU0005,,AJUSTE,87,5555.93
52,2026-05-17,5,SKU0012,4,ENTRADA,43,1370.07
53,2024-07-22,3,SKU0016,,SALIDA,47,2205.5
54,2026-02-28,2,SKU0034,,AJUSTE,61,2036.19
55,2026-07-17,4,SKU0017,,SALIDA,61,9619.15
56,2026-06-26,1,SKU0025,,AJUSTE,17,5264.54
57,2024-03-23,3,SKU0032,,SALIDA,91,2136.7
58,2025-05-07,4,SKU0033,9,ENTRADA,93,2288.13
59,2024-11-12,4,SKU0004,,SALIDA,27,5080.06
60,2026-04-02,4,SKU0014,,AJUSTE,47,4427.51
61,2024-12-24,3,SKU0007,6,ENTRADA,51,2878.39
62,2025-07-25,1,SKU0042,,SALIDA,38,7477.64
63,2024-01-10,3,SKU0006,,SALIDA,29,1266.74
64,2024-08-15,1,SKU0008,,SALIDA,11,2361.34
65,2025-08-03,3,SKU0019,10,ENTRADA,76,1981.53
66,2024-12-04,4,SKU0039,,SALIDA,46,9059.51
67,2025-09-28,3,SKU0020,5,ENTRADA,28,1409.56
68,2025-05-06,4,SKU0040,5,ENTRADA,16,4017.22
69,2025-08-30,2,SKU0024,8,ENTRADA,32,1818.58
70,2025-06-01,4,SKU0038,1,ENTRADA,80,5696.02
71,2026-01-30,4,SKU0040,5,ENTRADA,12,3468.94
72,2024-08-09,2,SKU0003,,SALIDA,29,1339.58
73,2026-05-16,5,SKU0039,,SALIDA,47,10606.23
74,2026-01-20,3,SKU0035,,AJUSTE,92,10945.21
75,2024-10-04,5,SKU0005,,AJUSTE,65,4434.02
76,2024-01-08,5,SKU0031,,SALIDA,7,2366.74
77,2025-03-16,1,SKU0009,,SALIDA,74,2438.76
78,2024-09-20,5,SKU0032,,SALIDA,28,1987.93
79,2025-01-11,5,SKU0015,1,ENTRADA,63,3945.26
80,2026-03-28,1,SKU0038,1,ENTRADA,28,5534.32
81,2026-04-28,2,SKU0011,1,ENTRADA,78,3071.49
82,2026-06-24,1,SKU0036,,SALIDA,2,14044.05
83,2024-01-02,1,SKU0014,,SALIDA,94,4208.65
84,2025-10-29,2,SKU0034,,SALIDA,72,2088.66
85,2026-04-05,4,SKU0030,,SALIDA,33,2232.67
86,2025-12-24,2,SKU0002,,SALIDA,50,2939.85
87,2024-05-02,4,SKU0023,5,ENTRADA,1,8829.3
88,2025-07-04,4,SKU0029,1,ENTRADA,21,4830.44
89,2024-09-26,2,SKU0036,7,ENTRADA,24,14079.03
90,2025-05-31,5,SKU0042,5,ENTRADA,16,7195.02
91,2024-03-13,5,SKU0014,,SALIDA,69,3323.14
92,2026-07-29,3,SKU0036,,SALIDA,18,14676.18
93,2025-12-13,5,SKU0014,5,ENTRADA,26,4428.6
94,2024-04-19,3,SKU0020,,AJUSTE,56,1527.16
95,2026-06-01,4,SKU0003,,SALIDA,85,1895.48
96,2026-05-13,3,SKU0003,,AJUSTE,46,1906.65
97,2025-06-25,2,SKU0007,6,ENTRADA,33,3675.71
98,2025-12-05,2,SKU0017,,SALIDA,67,10007.46
99,2025-02-06,5,SKU0018,,AJUSTE,12,2461.72
100,2026-07-12,3,SKU0034,,SALIDA,45,1993.65
101,2024-04-10,2,SKU0017,1,ENTRADA,4,9419.59
102,2024-04-22,4,SKU0016,,AJUSTE,88,2100.38
103,2024-06-02,3,SKU0002,,AJUSTE,91,2989.22
104,2026-03-13,4,SKU0015,,SALIDA,81,4291.64
105,2024-03-30,1,SKU0007,,SALIDA,94,3088.05
106,2025-08-07,3,SKU0023,,AJUSTE,81,9652.7
107,2025-04-09,3,SKU0037,7,ENTRADA,10,11129.79
108,2026-07-04,5,SKU0032,9,ENTRADA,14,2130.17
109,2024-09-24,2,SKU0027,,SALIDA,44,5721.06
110,2024-10-21,4,SKU0012,,SALIDA,60,1334.62
111,2024-12-14,4,SKU0032,,SALIDA,47,2057.13
112,2026-02-25,5,SKU0024,,SALIDA,10,1568.07
113,2025-12-05,1,SKU0020,,SALIDA,33,1874.21
114,2025-12-30,5,SKU0005,,SALIDA,29,5921.04
115,2024-12-16,1,SKU0036,,AJUSTE,84,13111.79
116,2024-11-02,2,SKU0020,,SALIDA,63,1658.28
117,2024-03-30,2,SKU0013,,AJUSTE,78,2486.69
118,2024-08-17,4,SKU0032,9,ENTRADA,47,2241.85
119,2026-02-06,1,SKU0003,1,ENTRADA,11,1516.71
120,2025-08-23,3,SKU0007,,SALIDA,68,4014.38
121,2024-06-26,3,SKU0020,5,ENTRADA,96,1356.45
122,2024-07-06,4,SKU0017,,AJUSTE,21,9121.17
123,2025-05-08,5,SKU0017,,AJUSTE,2,7972.06
124,2025-03-13,4,SKU0034,9,ENTRADA,50,2292.77
125,2025-07-09,4,SKU0017,,AJUSTE,3,8603.84
126,2026-07-04,5,SKU0041,,AJUSTE,12,6463.59
127,2024-08-22,2,SKU0031,,AJUSTE,85,2350.17
128,2024-12-08,4,SKU0025,,AJUSTE,74,4320.63
129,2024-10-25,4,SKU0015,,SALIDA,24,3727.81
130,2024-05-19,4,SKU0038,1,ENTRADA,6,5894.6
131,2024-06-28,4,SKU0013,5,ENTRADA,56,2750.0
132,2025-11-23,1,SKU0012,,SALIDA,66,1596.8
133,2026-03-18,5,SKU0037,,SALIDA,21,12942.61
134,2025-12-02,5,SKU0024,,SALIDA,14,1707.29
135,2024-02-19,3,SKU0042,,SALIDA,88,6387.86
136,2026-03-25,2,SKU0013,,SALIDA,60,2867.4
137,2024-12-25,3,SKU0008,,SALIDA,87,2627.49
138,2024-04-17,4,SKU0030,9,ENTRADA,81,2490.86
139,2024-10-07,1,SKU0027,,AJUSTE,55,5603.72
140,2025-01-20,5,SKU0027,,AJUSTE,89,6112.04
141,2025-06-19,5,SKU0042,,SALIDA,97,6075.73
142,2025-11-15,3,SKU0034,,AJUSTE,61,1917.8
143,2024-10-20,5,SKU0023,,SALIDA,62,9318.94
144,2026-07-24,3,SKU0038,1,ENTRADA,90,7075.01
145,2024-02-07,3,SKU0027,,SALIDA,64,4817.82
146,2025-03-11,2,SKU0025,5,ENTRADA,63,4686.96
147,2025-04-25,4,SKU0032,,SALIDA,77,2106.28
148,2026-01-09,3,SKU0017,,AJUSTE,57,10285.58
149,2024-10-09,4,SKU0025,,AJUSTE,34,4925.59
150,2025-05-04,3,SKU0041,,SALIDA,96,5486.92
151,2026-02-27,2,SKU0023,,SALIDA,57,10934.8
152,2024-06-09,1,SKU0021,10,ENTRADA,33,2107.87
153,2024-01-15,2,SKU0024,,SALIDA,64,1343.04
154,2026-03-21,1,SKU0042,,AJUSTE,93,7013.11
155,2026-07-18,5,SKU0034,,SALIDA,41,2539.95
156,2024-05-30,5,SKU0042,,SALIDA,43,7255.06
157,2026-03-16,4,SKU0016,,SALIDA,36,2841.41
158,2025-02-06,4,SKU0003,,AJUSTE,1,1499.81
159,2025-10-05,2,SKU0035,7,ENTRADA,94,10573.44
160,2025-10-18,5,SKU0026,8,ENTRADA,24,4131.22
161,2025-08-21,2,SKU0008,,SALIDA,77,2629.01
162,2024-10-18,1,SKU0034,,SALIDA,100,1667.51
163,2026-03-07,4,SKU0015,1,ENTRADA,8,4312.4
164,2024-01-26,1,SKU0018,,SALIDA,1,2777.37
165,2024-03-18,2,SKU0025,5,ENTRADA,91,4150.44
166,2026-05-17,3,SKU0002,3,ENTRADA,6,3552.17
167,2025-04-17,4,SKU0010,,SALIDA,67,5543.66
168,2024-05-28,4,SKU0035,,AJUSTE,56,8808.81
169,2026-05-19,4,SKU0019,,SALIDA,36,2038.63
170,2026-03-20,4,SKU0018,,SALIDA,96,2592.23
171,2024-12-28,2,SKU0014,,SALIDA,26,4072.35
172,2024-02-21,5,SKU0037,,SALIDA,34,8756.07
173,2025-05-03,2,SKU0039,8,ENTRADA,91,10484.94
174,2024-07-10,3,SKU0037,7,ENTRADA,7,11099.0
175,2025-08-13,2,SKU0002,,SALIDA,56,2599.28
176,2026-03-14,1,SKU0035,,AJUSTE,42,9912.85
177,2025-03-02,5,SKU0020,,SALIDA,76,1815.58
178,2024-02-05,5,SKU0031,,SALIDA,26,2091.76
179,2025-11-21,1,SKU0016,,SALIDA,12,2410.87
180,2024-07-15,3,SKU0014,,SALIDA,84,3558.17
181,2024-08-30,5,SKU0031,,AJUSTE,27,2307.21
182,2024-07-30,3,SKU0002,3,ENTRADA,53,2392.27
183,2024-11-10,1,SKU0030,,SALIDA,68,2254.26
184,2026-05-03,4,SKU0028,1,ENTRADA,62,1899.58
185,2024-02-11,1,SKU0035,7,ENTRADA,77,8738.35
186,2025-09-25,1,SKU0026,8,ENTRADA,73,3403.15
187,2024-10-04,4,SKU0013,,SALIDA,33,2802.52
188,2024-11-25,5,SKU0042,,AJUSTE,39,7419.91
