venta_id,ticket_id,fecha,cliente_id,tienda_id,producto_id,cantidad,precio_unitario,descuento,total_linea
1,1,2026-02-10,28,2,SKU0040,2,6250,0.0,12500.0
2,1,2026-02-10,28,2,SKU0030,3,4050,0.0,12150.0
3,2,2026-03-02,30,2,SKU0023,5,14950,0.0,74750.0
4,2,2026-03-02,30,2,SKU0018,3,4650,0.0,13950.0
5,2,2026-03-02,30,2,SKU0013,1,5200,0.15,4420.0
6,2,2026-03-02,30,2,SKU0022,4,3000,0.0,12000.0
7,2,2026-03-02,30,2,SKU0009,4,3950,0.0,15800.0
8,2,2026-03-02,30,2,SKU0003,3,2550,0.0,7650.0
9,3,2024-08-03,19,5,SKU0041,2,9000,0.05,17100.0
10,3,2024-08-03,19,5,SKU0040,5,5400,0.15,22950.0
11,4,2024-04-24,15,1,SKU0034,4,3000,0.15,10200.0
12,4,2024-04-24,15,1,SKU0032,4,3100,0.0,12400.0
13,4,2024-04-24,15,1,SKU0014,1,5700,0.1,5130.0
14,4,2024-04-24,15,1,SKU0038,4,8300,0.1,29880.0
15,5,2025-04-05,16,2,SKU0028,5,3150,0.0,15750.0
16,5,2025-04-05,16,2,SKU0038,5,8950,0.0,44750.0
17,5,2025-04-05,16,2,SKU0015,4,5400,0.0,21600.0
18,6,2025-03-29,3,4,SKU0033,1,3350,0.0,3350.0
19,6,2025-03-29,3,4,SKU0003,4,2400,0.0,9600.0
20,6,2025-03-29,3,4,SKU0028,1,3150,0.05,2992.5
21,6,2025-03-29,3,4,SKU0034,1,3250,0.1,2925.0
22,6,2025-03-29,3,4,SKU0026,4,5950,0.0,23800.0
23,6,2025-03-29,3,4,SKU0031,2,3450,0.0,6900.0
24,7,2025-05-08,19,2,SKU0006,5,2500,0.1,11250.0
25,7,2025-05-08,19,2,SKU0002,5,4650,0.0,23250.0
26,7,2025-05-08,19,2,SKU0031,4,3450,0.0,13800.0
27,7,2025-05-08,19,2,SKU0020,2,2500,0.15,4250.0
28,7,2025-05-08,19,2,SKU0011,4,4650,0.0,18600.0
29,7,2025-05-08,19,2,SKU0030,3,3800,0.1,10260.0
30,8,2025-12-25,30,1,SKU0005,4,8400,0.15,28560.0
31,8,2025-12-25,30,1,SKU0025,3,7450,0.1,20115.0
32,8,2025-12-25,30,1,SKU0022,5,2800,0.05,13300.0
33,8,2025-12-25,30,1,SKU0034,5,3250,0.15,13812.5
34,8,2025-12-25,30,1,SKU0003,2,2400,0.15,4080.0
35,8,2025-12-25,30,1,SKU0019,1,2800,0.05,2660.0
36,9,2025-11-12,22,1,SKU0024,5,2500,0.0,12500.0
37,9,2025-11-12,22,1,SKU0004,3,9700,0.0,29100.0
38,9,2025-11-12,22,1,SKU0008,2,4200,0.1,7560.0
39,9,2025-11-12,22,1,SKU0025,5,7450,0.1,33525.0
40,9,2025-11-12,22,1,SKU0030,1,3800,0.05,3610.0
41,10,2026-07-19,46,2,SKU0022,5,3000,0.0,15000.0
42,10,2026-07-19,46,2,SKU0016,4,4300,0.1,15480.0
43,11,2024-04-25,49,5,SKU0014,4,5700,0.0,22800.0
44,11,2024-04-25,49,5,SKU0015,1,5000,0.0,5000.0
45,11,2024-04-25,49,5,SKU0021,3,3800,0.0,11400.0
46,11,2024-04-25,49,5,SKU0023,4,12900,0.0,51600.0
47,11,2024-04-25,49,5,SKU0018,5,4000,0.05,19000.0
48,11,2024-04-25,49,5,SKU0033,1,3100,0.0,3100.0
49,12,2025-03-09,46,5,SKU0035,4,16100,0.0,64400.0
50,12,2025-03-09,46,5,SKU0019,1,2800,0.0,2800.0
51,12,2025-03-09,46,5,SKU0029,2,6700,0.0,13400.0
52,12,2025-03-09,46,5,SKU0024,1,2500,0.0,2500.0
53,12,2025-03-09,46,5,SKU0005,2,8400,0.0,16800.0
54,12,2025-03-09,46,5,SKU0013,1,4850,0.1,4365.0
55,13,2025-01-04,10,4,SKU0014,1,6150,0.0,6150.0
56,13,2025-01-04,10,4,SKU0034,4,3250,0.1,11700.0
57,14,2026-04-15,35,2,SKU0023,1,14950,0.0,14950.0
58,14,2026-04-15,35,2,SKU0027,2,10000,0.0,20000.0
59,14,2026-04-15,35,2,SKU0029,1,7200,0.15,6120.0
60,14,2026-04-15,35,2,SKU0042,2,11600,0.15,19720.0
61,15,2024-10-07,34,3,SKU0038,4,8300,0.05,31540.0
62,15,2024-10-07,34,3,SKU0022,5,2600,0.15,11050.0
63,15,2024-10-07,34,3,SKU0042,5,10000,0.0,50000.0
64,15,2024-10-07,34,3,SKU0021,4,3800,0.0,15200.0
65,16,2024-08-03,37,2,SKU0011,4,4300,0.0,17200.0
66,16,2024-08-03,37,2,SKU0017,3,13000,0.15,33150.0
67,16,2024-08-03,37,2,SKU0015,1,5000,0.0,5000.0
68,17,2025-04-21,23,3,SKU0011,2,4650,0.0,9300.0
69,17,2025-04-21,23,3,SKU0040,2,5850,0.0,11700.0
70,17,2025-04-21,23,3,SKU0035,2,16100,0.0,32200.0
71,17,2025-04-21,23,3,SKU0019,1,2800,0.0,2800.0
72,18,2025-03-27,37,2,SKU0017,5,14050,0.1,63225.0
73,18,2025-03-27,37,2,SKU0024,1,2500,0.1,2250.0
74,18,2025-03-27,37,2,SKU0012,3,2250,0.0,6750.0
75,18,2025-03-27,37,2,SKU0014,2,6150,0.0,12300.0
76,19,2024-11-08,29,5,SKU0035,1,14900,0.0,14900.0
77,19,2024-11-08,29,5,SKU0020,4,2300,0.0,9200.0
78,20,2024-10-09,50,2,SKU0021,5,3800,0.0,19000.0
79,20,2024-10-09,50,2,SKU0010,3,8600,0.0,25800.0
80,20,2024-10-09,50,2,SKU0001,3,3800,0.15,9690.0
81,20,2024-10-09,50,2,SKU0035,5,14900,0.1,67050.0
82,21,2026-06-02,10,5,SKU0029,5,7200,0.0,36000.0
83,21,2026-06-02,10,5,SKU0022,3,3000,0.0,9000.0
84,21,2026-06-02,10,5,SKU0008,4,4500,0.05,17100.0
85,21,2026-06-02,10,5,SKU0031,2,3700,0.0,7400.0
86,21,2026-06-02,10,5,SKU0003,3,2550,0.0,7650.0
87,21,2026-06-02,10,5,SKU0009,3,3950,0.0,11850.0
88,22,2025-04-16,39,2,SKU0034,1,3250,0.05,3087.5
89,22,2025-04-16,39,2,SKU0015,4,5400,0.1,19440.0
90,22,2025-04-16,39,2,SKU0018,1,4300,0.05,4085.0
91,22,2025-04-16,39,2,SKU0013,4,4850,0.0,19400.0
92,22,2025-04-16,39,2,SKU0002,4,4650,0.0,18600.0
93,23,2026-04-15,39,5,SKU0004,3,10450,0.0,31350.0
94,23,2026-04-15,39,5,SKU0024,3,2650,0.0,7950.0
